time,value
2024-07-27T10:34:25.734831835Z,176
2024-07-27T10:34:26.039133512Z,174
2024-07-27T10:34:26.857828709Z,179
2024-07-27T10:34:27.902314837Z,173
2024-07-27T10:34:28.295592386Z,184
2024-07-27T10:34:28.805330687Z,173
2024-07-27T10:34:30.241301513Z,172
2024-07-27T10:34:30.671344467Z,173
2024-07-28T01:00:26.819991069Z,173
2024-07-28T01:00:27.199510895Z,143
2024-07-28T01:00:28.535475537Z,142
2024-07-28T01:00:29.552700999Z,141
2024-07-28T01:00:30.064757109Z,172
2024-07-28T01:00:31.301747692Z,140
2024-07-28T01:00:31.671094176Z,142
2024-07-28T01:00:34.178175543Z,175
2024-07-28T01:00:34.877812721Z,141
2024-07-28T01:00:34.879203823Z,142
2024-07-28T01:00:34.88079771Z,173
2024-07-28T01:00:35.287204374Z,143
2024-07-28T01:00:35.745910884Z,140
2024-07-28T01:00:36.825903228Z,175
2024-07-28T01:00:37.159052882Z,140
2024-07-28T01:00:38.260174454Z,173
2024-07-28T01:00:38.570742061Z,142
2024-07-28T01:00:39.177123621Z,176
2024-07-28T01:00:40.221898922Z,140
2024-07-28T01:00:41.021230679Z,139
2024-07-28T01:00:41.738627567Z,174
2024-07-28T01:00:42.24878224Z,144
2024-07-28T01:00:43.581061697Z,139
2024-07-28T01:00:43.887419917Z,142
2024-07-28T01:00:45.116659309Z,141
2024-07-28T01:00:45.731929973Z,142
2024-07-28T01:00:46.770464308Z,141
2024-07-28T01:00:47.881158919Z,140
2024-07-28T01:00:48.604663871Z,142
2024-07-28T01:00:49.021765763Z,173
2024-07-28T01:00:50.031212643Z,140
2024-07-28T01:00:50.457178503Z,143
2024-07-28T01:00:52.001961439Z,142
2024-07-28T01:00:52.003638526Z,172
2024-07-28T01:00:52.812326149Z,144
2024-07-28T01:00:55.561147335Z,143
2024-07-28T01:00:55.562580738Z,141
2024-07-28T01:00:55.563890752Z,144
2024-07-28T01:00:55.565483013Z,175
2024-07-28T01:00:56.335748313Z,140
2024-07-28T01:00:56.690524361Z,173
2024-07-28T01:00:58.018349443Z,141
2024-07-28T01:00:58.4346226Z,140
2024-07-28T01:00:58.850142355Z,175
2024-07-28T01:01:00.076861711Z,16
2024-07-28T01:01:00.481665223Z,29
2024-07-28T01:01:01.706418184Z,175
2024-07-28T01:01:02.422620101Z,176
2024-07-28T01:01:02.934490002Z,143
2024-07-28T01:01:03.451176086Z,140
2024-07-28T01:01:03.856380118Z,141
2024-07-28T01:01:06.687986938Z,140
2024-07-28T01:01:07.132399837Z,144
2024-07-28T01:01:07.133977598Z,140
2024-07-28T01:01:08.504427533Z,173
2024-07-28T01:01:08.872799218Z,140
2024-07-28T01:01:10.000518427Z,144
2024-07-28T01:01:10.717774797Z,140
2024-07-28T01:01:11.748909836Z,11
2024-07-28T01:01:12.149647523Z,9
2024-07-28T01:01:12.969266137Z,182
2024-07-28T01:01:13.385836618Z,142
2024-07-28T01:01:14.813617558Z,172
2024-07-28T01:01:15.119835678Z,142
2024-07-28T01:01:17.271434308Z,143
2024-07-28T01:01:17.987510474Z,139
2024-07-28T01:01:18.400074148Z,144
2024-07-28T01:01:19.528286233Z,142
2024-07-28T01:01:19.933971066Z,143
2024-07-28T01:01:20.446072807Z,142
2024-07-28T01:01:21.883204594Z,141
2024-07-28T01:01:24.657721055Z,142
2024-07-28T01:01:24.659403846Z,139
2024-07-28T01:01:24.660636099Z,140
2024-07-28T01:01:24.662057798Z,141
2024-07-28T01:01:25.15943492Z,140
2024-07-28T01:01:26.086760756Z,121
2024-07-28T01:01:26.488430103Z,124
2024-07-28T01:01:27.732848598Z,123
2024-07-28T01:01:28.132177067Z,117
2024-07-28T01:01:29.093116461Z,125
2024-07-28T01:01:29.764617046Z,126
2024-07-28T01:01:30.487462367Z,103
